,instant,dteday,season,year,month,holiday,weekday,workingday,weathersit,temperatura,atemp,humedad,windspeed,casual,registered,total_alquileres,usuarios_totales,clima
67,68,2011-03-09,springer,0,3,0,3,1,2,12.129153,0.286608,0.775417,0.22015,191,1700,1891,1891,Nublado
68,69,2011-03-10,springer,0,3,0,4,1,3,15.952731,0.385668,0.0,0.261877,46,577,623,623,Lluvioso
69,70,2011-03-11,springer,0,3,0,5,1,2,12.977402000000001,0.305,0.649565,0.23297,247,1730,1977,1977,Nublado
70,71,2011-03-12,springer,0,3,0,6,0,1,13.495847,0.32575,0.594583,0.220775,724,1408,2132,2132,Despejado
71,72,2011-03-13,springer,0,3,0,0,0,1,15.758268000000001,0.380091,0.527391,0.270604,982,1435,2417,2417,Despejado
72,73,2011-03-14,springer,0,3,0,1,1,1,13.333896999999999,0.332,0.496957,0.136926,359,1687,2046,2046,Despejado
73,74,2011-03-15,springer,0,3,0,2,1,2,13.013031,0.318178,0.655652,0.184309,289,1767,2056,2056,Nublado
74,75,2011-03-16,springer,0,3,0,3,1,2,14.973897000000001,0.36693,0.776522,0.203117,321,1871,2192,2192,Nublado
75,76,2011-03-17,springer,0,3,0,4,1,1,17.015,0.410333,0.602917,0.209579,424,2320,2744,2744,Despejado
76,77,2011-03-18,springer,0,3,0,5,1,1,22.14,0.527009,0.525217,0.231017,884,2355,3239,3239,Despejado
77,78,2011-03-19,springer,0,3,0,6,0,1,19.3725,0.466525,0.379167,0.368167,1424,1693,3117,3117,Despejado
78,79,2011-03-20,springer,0,3,0,0,0,1,13.6325,0.32575,0.47375,0.207721,1047,1424,2471,2471,Despejado
79,80,2011-03-21,summer,0,3,0,1,1,2,17.647835,0.409735,0.737391,0.288783,401,1676,2077,2077,Nublado
80,81,2011-03-22,summer,0,3,0,2,1,1,18.108347,0.440642,0.624583,0.22575,460,2243,2703,2703,Despejado
81,82,2011-03-23,summer,0,3,0,3,1,2,14.225237,0.337939,0.839565,0.234261,203,1918,2121,2121,Nublado
82,83,2011-03-24,summer,0,3,0,4,1,2,11.684999999999999,0.270833,0.805833,0.243787,166,1699,1865,1865,Nublado
83,84,2011-03-25,summer,0,3,0,5,1,1,10.830846999999999,0.256312,0.495,0.230725,300,1910,2210,2210,Despejado
84,85,2011-03-26,summer,0,3,0,6,0,1,10.899153,0.257571,0.394167,0.209571,981,1515,2496,2496,Despejado
85,86,2011-03-27,summer,0,3,0,0,0,2,10.374763000000002,0.250339,0.493913,0.1843,472,1221,1693,1693,Nublado
86,87,2011-03-28,summer,0,3,0,1,1,1,10.838268000000001,0.257574,0.302174,0.212204,222,1806,2028,2028,Despejado
87,88,2011-03-29,summer,0,3,0,2,1,1,12.4025,0.292908,0.314167,0.226996,317,2108,2425,2425,Despejado
88,89,2011-03-30,summer,0,3,0,3,1,2,12.299999999999999,0.29735,0.646667,0.172888,168,1368,1536,1536,Nublado
89,90,2011-03-31,summer,0,3,0,4,1,3,11.001653,0.257575,0.918333,0.217646,179,1506,1685,1685,Lluvioso
90,91,2011-04-01,summer,0,4,0,5,1,2,12.299999999999999,0.283454,0.68625,0.258708,307,1920,2227,2227,Nublado
91,92,2011-04-02,summer,0,4,0,6,0,2,12.915000000000001,0.315637,0.65375,0.197146,898,1354,2252,2252,Nublado
92,93,2011-04-03,summer,0,4,0,0,0,1,15.511652999999999,0.378767,0.48,0.182213,1651,1598,3249,3249,Despejado
93,94,2011-04-04,summer,0,4,0,1,1,1,23.506653,0.542929,0.42625,0.385571,734,2381,3115,3115,Despejado
94,95,2011-04-05,summer,0,4,0,2,1,2,16.980847,0.39835,0.642083,0.388067,167,1628,1795,1795,Nublado
95,96,2011-04-06,summer,0,4,0,3,1,1,16.024153,0.387608,0.470833,0.263063,413,2395,2808,2808,Despejado
96,97,2011-04-07,summer,0,4,0,4,1,1,17.9375,0.433696,0.602917,0.162312,571,2570,3141,3141,Despejado
97,98,2011-04-08,summer,0,4,0,5,1,2,13.769153,0.324479,0.83625,0.226992,172,1299,1471,1471,Nublado
98,99,2011-04-09,summer,0,4,0,6,0,2,14.0425,0.341529,0.8775,0.133083,879,1576,2455,2455,Nublado
99,100,2011-04-10,summer,0,4,0,0,0,2,17.493347,0.426737,0.8575,0.146767,1188,1707,2895,2895,Nublado
100,101,2011-04-11,summer,0,4,0,1,1,2,24.421732,0.565217,0.716956,0.324474,855,2493,3348,3348,Nublado
101,102,2011-04-12,summer,0,4,0,2,1,2,20.6025,0.493054,0.739167,0.274879,257,1777,2034,2034,Nublado
102,103,2011-04-13,summer,0,4,0,3,1,2,16.912499999999998,0.417283,0.819167,0.250617,209,1953,2162,2162,Nublado
103,104,2011-04-14,summer,0,4,0,4,1,1,19.1675,0.462742,0.540417,0.1107,529,2738,3267,3267,Despejado
104,105,2011-04-15,summer,0,4,1,5,0,1,18.313347,0.441913,0.67125,0.226375,642,2484,3126,3126,Despejado
105,106,2011-04-16,summer,0,4,0,6,0,3,17.664153000000002,0.425492,0.888333,0.340808,121,674,795,795,Lluvioso
106,107,2011-04-17,summer,0,4,0,0,0,1,18.723347,0.445696,0.479583,0.303496,1558,2186,3744,3744,Despejado
107,108,2011-04-18,summer,0,4,0,1,1,1,21.0125,0.503146,0.5425,0.163567,669,2760,3429,3429,Despejado
108,109,2011-04-19,summer,0,4,0,2,1,2,20.739152999999998,0.489258,0.665833,0.157971,409,2795,3204,3204,Nublado
109,110,2011-04-20,summer,0,4,0,3,1,1,24.395,0.564392,0.614167,0.241925,613,3331,3944,3944,Despejado
110,111,2011-04-21,summer,0,4,0,4,1,1,18.825847,0.453892,0.407083,0.325258,745,3444,4189,4189,Despejado
111,112,2011-04-22,summer,0,4,0,5,1,2,13.803347,0.321954,0.729583,0.219521,177,1506,1683,1683,Nublado
112,113,2011-04-23,summer,0,4,0,6,0,2,18.86,0.450121,0.887917,0.230725,1462,2574,4036,4036,Nublado
113,114,2011-04-24,summer,0,4,0,0,0,2,23.848347,0.551763,0.810833,0.192175,1710,2481,4191,4191,Nublado
114,115,2011-04-25,summer,0,4,0,1,1,1,24.873347,0.5745,0.776667,0.185333,773,3300,4073,4073,Despejado
115,116,2011-04-26,summer,0,4,0,2,1,1,25.898346999999998,0.594083,0.729167,0.3265,678,3722,4400,4400,Despejado
116,117,2011-04-27,summer,0,4,0,3,1,2,25.419999999999998,0.575142,0.835417,0.3122,547,3325,3872,3872,Nublado
117,118,2011-04-28,summer,0,4,0,4,1,2,25.317500000000003,0.578929,0.700833,0.320908,569,3489,4058,4058,Nublado
118,119,2011-04-29,summer,0,4,0,5,1,1,20.91,0.497463,0.457083,0.240063,878,3717,4595,4595,Despejado
119,120,2011-04-30,summer,0,4,0,6,0,1,19.3725,0.464021,0.503333,0.235075,1965,3347,5312,5312,Despejado
120,121,2011-05-01,summer,0,5,0,0,0,2,18.518347,0.448204,0.762083,0.106354,1138,2213,3351,3351,Nublado
121,122,2011-05-02,summer,0,5,0,1,1,2,22.515846999999997,0.532833,0.73,0.183454,847,3554,4401,4401,Nublado
122,123,2011-05-03,summer,0,5,0,2,1,2,25.283347,0.582079,0.697083,0.342667,603,3848,4451,4451,Nublado
123,124,2011-05-04,summer,0,5,0,3,1,2,16.980847,0.40465,0.737083,0.328996,255,2378,2633,2633,Nublado
124,125,2011-05-05,summer,0,5,0,4,1,1,18.825847,0.441917,0.444167,0.295392,614,3819,4433,4433,Despejado
125,126,2011-05-06,summer,0,5,0,5,1,1,19.645847,0.474117,0.59,0.228246,894,3714,4608,4608,Despejado
126,127,2011-05-07,summer,0,5,0,6,0,1,21.32,0.512621,0.54125,0.16045,1612,3102,4714,4714,Despejado
127,128,2011-05-08,summer,0,5,0,0,0,1,21.661653,0.518933,0.631667,0.0746375,1401,2932,4333,4333,Despejado
128,129,2011-05-09,summer,0,5,0,1,1,1,21.8325,0.525246,0.58875,0.176,664,3698,4362,4362,Despejado
129,130,2011-05-10,summer,0,5,0,2,1,1,21.8325,0.522721,0.489167,0.115671,694,4109,4803,4803,Despejado
130,131,2011-05-11,summer,0,5,0,3,1,1,22.2425,0.5284,0.632917,0.120642,550,3632,4182,4182,Despejado
131,132,2011-05-12,summer,0,5,0,4,1,1,21.935000000000002,0.523363,0.7475,0.189667,695,4169,4864,4864,Despejado
132,133,2011-05-13,summer,0,5,0,5,1,2,21.0125,0.4943,0.863333,0.179725,692,3413,4105,4105,Nublado
133,134,2011-05-14,summer,0,5,0,6,0,2,21.354153,0.500629,0.9225,0.13495,902,2507,3409,3409,Nublado
134,135,2011-05-15,summer,0,5,0,0,0,2,23.0625,0.536,0.867083,0.152979,1582,2971,4553,4553,Nublado
135,136,2011-05-16,summer,0,5,0,1,1,1,23.677500000000002,0.550512,0.787917,0.126871,773,3185,3958,3958,Despejado
136,137,2011-05-17,summer,0,5,0,2,1,2,23.028347,0.538529,0.837917,0.277354,678,3445,4123,4123,Nublado
137,138,2011-05-18,summer,0,5,0,3,1,2,22.55,0.527158,0.87,0.201492,536,3319,3855,3855,Nublado
138,139,2011-05-19,summer,0,5,0,4,1,2,21.764153,0.510742,0.829583,0.108213,735,3840,4575,4575,Nublado
139,140,2011-05-20,summer,0,5,0,5,1,1,22.003347,0.529042,0.719583,0.125013,909,4008,4917,4917,Despejado
140,141,2011-05-21,summer,0,5,0,6,0,1,24.7025,0.571975,0.626667,0.12065,2258,3547,5805,5805,Despejado
141,142,2011-05-22,summer,0,5,0,0,0,1,24.770847,0.5745,0.749583,0.148008,1576,3084,4660,4660,Despejado
142,143,2011-05-23,summer,0,5,0,1,1,2,25.898346999999998,0.590296,0.81,0.233842,836,3438,4274,4274,Nublado
143,144,2011-05-24,summer,0,5,0,2,1,2,27.060000000000002,0.604813,0.740833,0.207092,659,3833,4492,4492,Nublado
144,145,2011-05-25,summer,0,5,0,3,1,1,27.094153,0.615542,0.69625,0.154233,740,4238,4978,4978,Despejado
145,146,2011-05-26,summer,0,5,0,4,1,1,29.041653,0.654688,0.6775,0.199642,758,3919,4677,4677,Despejado
146,147,2011-05-27,summer,0,5,0,5,1,1,27.948347000000002,0.637008,0.65375,0.240679,871,3808,4679,4679,Despejado
147,148,2011-05-28,summer,0,5,0,6,0,1,26.889153,0.612379,0.729583,0.230092,2001,2757,4758,4758,Despejado
148,149,2011-05-29,summer,0,5,0,0,0,1,27.3675,0.61555,0.81875,0.213938,2355,2433,4788,4788,Despejado
149,150,2011-05-30,summer,0,5,1,1,0,1,30.066653000000002,0.671092,0.685,0.131225,1549,2549,4098,4098,Despejado
150,151,2011-05-31,summer,0,5,0,2,1,1,31.775000000000002,0.725383,0.636667,0.111329,673,3309,3982,3982,Despejado
151,152,2011-06-01,summer,0,6,0,3,1,2,31.330847000000002,0.720967,0.677083,0.207092,513,3461,3974,3974,Nublado
152,153,2011-06-02,summer,0,6,0,4,1,1,29.314999999999998,0.643942,0.305,0.292287,736,4232,4968,4968,Despejado
153,154,2011-06-03,summer,0,6,0,5,1,1,25.419999999999998,0.587133,0.354167,0.253121,898,4414,5312,5312,Despejado
154,155,2011-06-04,summer,0,6,0,6,0,1,26.035,0.594696,0.45625,0.123142,1869,3473,5342,5342,Despejado
155,156,2011-06-05,summer,0,6,0,0,0,2,26.581653000000003,0.616804,0.6525,0.138692,1685,3221,4906,4906,Nublado
156,157,2011-06-06,summer,0,6,0,1,1,1,27.811653,0.621858,0.6,0.121896,673,3875,4548,4548,Despejado
157,158,2011-06-07,summer,0,6,0,2,1,1,29.0075,0.65595,0.597917,0.187808,763,4070,4833,4833,Despejado
158,159,2011-06-08,summer,0,6,0,3,1,1,31.809153,0.727279,0.622083,0.136817,676,3725,4401,4401,Despejado
159,160,2011-06-09,summer,0,6,0,4,1,2,33.141653,0.757579,0.568333,0.149883,563,3352,3915,3915,Nublado
160,161,2011-06-10,summer,0,6,0,5,1,1,30.955000000000002,0.703292,0.605,0.140554,815,3771,4586,4586,Despejado
161,162,2011-06-11,summer,0,6,0,6,0,1,29.724999999999998,0.678038,0.654583,0.15485,1729,3237,4966,4966,Despejado
162,163,2011-06-12,summer,0,6,0,0,0,1,28.392500000000002,0.643325,0.747917,0.163567,1467,2993,4460,4460,Despejado
163,164,2011-06-13,summer,0,6,0,1,1,1,26.035,0.601654,0.494583,0.30535,863,4157,5020,5020,Despejado
164,165,2011-06-14,summer,0,6,0,2,1,1,24.770847,0.591546,0.507083,0.269283,727,4164,4891,4891,Despejado
165,166,2011-06-15,summer,0,6,0,3,1,1,25.693347,0.587754,0.471667,0.167912,769,4411,5180,5180,Despejado
166,167,2011-06-16,summer,0,6,0,4,1,2,25.761653000000003,0.595346,0.688333,0.206471,545,3222,3767,3767,Nublado
167,168,2011-06-17,summer,0,6,0,5,1,1,26.615847000000002,0.600383,0.735833,0.143029,863,3981,4844,4844,Despejado
168,169,2011-06-18,summer,0,6,0,6,0,1,28.563347,0.643954,0.670417,0.119408,1807,3312,5119,5119,Despejado
169,170,2011-06-19,summer,0,6,0,0,0,2,28.665847,0.645846,0.666667,0.102,1639,3105,4744,4744,Nublado
170,171,2011-06-20,summer,0,6,0,1,1,2,26.035,0.595346,0.74625,0.155475,699,3311,4010,4010,Nublado
171,172,2011-06-21,fall,0,6,0,2,1,2,27.914153000000002,0.637646,0.770417,0.171025,774,4061,4835,4835,Nublado
172,173,2011-06-22,fall,0,6,0,3,1,1,30.066653000000002,0.693829,0.7075,0.172262,661,3846,4507,4507,Despejado
173,174,2011-06-23,fall,0,6,0,4,1,2,29.861653,0.693833,0.703333,0.238804,746,4044,4790,4790,Nublado
174,175,2011-06-24,fall,0,6,0,5,1,1,29.690847,0.656583,0.573333,0.222025,969,4022,4991,4991,Despejado
175,176,2011-06-25,fall,0,6,0,6,0,1,28.494999999999997,0.643313,0.483333,0.209571,1782,3420,5202,5202,Despejado
176,177,2011-06-26,fall,0,6,0,0,0,1,27.880000000000003,0.637629,0.513333,0.0945333,1920,3385,5305,5305,Despejado
177,178,2011-06-27,fall,0,6,0,1,1,2,27.982499999999998,0.637004,0.658333,0.107588,854,3854,4708,4708,Nublado
178,179,2011-06-28,fall,0,6,0,2,1,1,30.510847000000002,0.692558,0.634167,0.144283,732,3916,4648,4648,Despejado
179,180,2011-06-29,fall,0,6,0,3,1,1,29.861653,0.654688,0.497917,0.261821,848,4377,5225,5225,Despejado
180,181,2011-06-30,fall,0,6,0,4,1,1,28.563347,0.637008,0.434167,0.185312,1027,4488,5515,5515,Despejado
181,182,2011-07-01,fall,0,7,0,5,1,1,29.622500000000002,0.652162,0.39625,0.102608,1246,4116,5362,5362,Despejado
182,183,2011-07-02,fall,0,7,0,6,0,1,30.271653,0.667308,0.444583,0.115062,2204,2915,5119,5119,Despejado
183,184,2011-07-03,fall,0,7,0,0,0,2,29.383347,0.668575,0.6825,0.228858,2282,2367,4649,4649,Nublado
184,185,2011-07-04,fall,0,7,1,1,0,2,29.793346999999997,0.665417,0.637917,0.0814792,3065,2978,6043,6043,Nublado
185,186,2011-07-05,fall,0,7,0,2,1,1,30.613346999999997,0.696338,0.590417,0.126258,1031,3634,4665,4665,Despejado
186,187,2011-07-06,fall,0,7,0,3,1,1,29.52,0.685633,0.743333,0.149883,784,3845,4629,4629,Despejado
187,188,2011-07-07,fall,0,7,0,4,1,1,30.75,0.686871,0.65125,0.1592,754,3838,4592,4592,Despejado
188,189,2011-07-08,fall,0,7,0,5,1,2,29.075847,0.670483,0.757917,0.225129,692,3348,4040,4040,Nublado
189,190,2011-07-09,fall,0,7,0,6,0,1,30.066653000000002,0.664158,0.609167,0.167912,1988,3348,5336,5336,Despejado
190,191,2011-07-10,fall,0,7,0,0,0,1,30.6475,0.690025,0.578333,0.183471,1743,3138,4881,4881,Despejado
191,192,2011-07-11,fall,0,7,0,1,1,1,31.2625,0.729804,0.635833,0.282337,723,3363,4086,4086,Despejado
192,193,2011-07-12,fall,0,7,0,2,1,1,32.560846999999995,0.739275,0.559167,0.200254,662,3596,4258,4258,Despejado
193,194,2011-07-13,fall,0,7,0,3,1,1,30.613346999999997,0.689404,0.631667,0.146133,748,3594,4342,4342,Despejado
194,195,2011-07-14,fall,0,7,0,4,1,1,27.914153000000002,0.635104,0.47625,0.240667,888,4196,5084,5084,Despejado
195,196,2011-07-15,fall,0,7,0,5,1,1,27.196652999999998,0.624371,0.59125,0.182833,1318,4220,5538,5538,Despejado
196,197,2011-07-16,fall,0,7,0,6,0,1,28.153347,0.638263,0.585,0.208342,2418,3505,5923,5923,Despejado
197,198,2011-07-17,fall,0,7,0,0,0,1,29.485847,0.669833,0.604167,0.245033,2006,3296,5302,5302,Despejado
198,199,2011-07-18,fall,0,7,0,1,1,1,30.613346999999997,0.703925,0.65125,0.215804,841,3617,4458,4458,Despejado
199,200,2011-07-19,fall,0,7,0,2,1,1,31.843347,0.747479,0.650417,0.1306,752,3789,4541,4541,Despejado
200,201,2011-07-20,fall,0,7,0,3,1,1,31.501653,0.74685,0.707083,0.113817,644,3688,4332,4332,Despejado
201,202,2011-07-21,fall,0,7,0,4,1,2,33.415,0.826371,0.69125,0.222021,632,3152,3784,3784,Nublado
202,203,2011-07-22,fall,0,7,0,5,1,1,34.781653,0.840896,0.580417,0.1331,562,2825,3387,3387,Despejado
203,204,2011-07-23,fall,0,7,0,6,0,1,34.815847,0.804287,0.5,0.131221,987,2298,3285,3285,Despejado
204,205,2011-07-24,fall,0,7,0,0,0,1,34.03,0.794829,0.550833,0.169171,1050,2556,3606,3606,Despejado
205,206,2011-07-25,fall,0,7,0,1,1,1,30.476653000000002,0.720958,0.757083,0.0908083,568,3272,3840,3840,Despejado
206,207,2011-07-26,fall,0,7,0,2,1,1,31.638347,0.696979,0.540833,0.200258,750,3840,4590,4590,Despejado
207,208,2011-07-27,fall,0,7,0,3,1,1,31.775000000000002,0.690667,0.402917,0.183463,755,3901,4656,4656,Despejado
208,209,2011-07-28,fall,0,7,0,4,1,1,31.945847,0.7399,0.583333,0.178479,606,3784,4390,4390,Despejado
209,210,2011-07-29,fall,0,7,0,5,1,1,34.371653,0.785967,0.5425,0.174138,670,3176,3846,3846,Despejado
210,211,2011-07-30,fall,0,7,0,6,0,1,32.970847,0.728537,0.465833,0.168537,1559,2916,4475,4475,Despejado
211,212,2011-07-31,fall,0,7,0,0,0,1,33.039153,0.729796,0.480833,0.164813,1524,2778,4302,4302,Despejado
212,213,2011-08-01,fall,0,8,0,1,1,1,31.638347,0.703292,0.550833,0.156717,729,3537,4266,4266,Despejado
213,214,2011-08-02,fall,0,8,0,2,1,1,32.116653,0.707071,0.49125,0.20585,801,4044,4845,4845,Despejado
214,215,2011-08-03,fall,0,8,0,3,1,2,29.998347,0.679937,0.6575,0.135583,467,3107,3574,3574,Nublado
215,216,2011-08-04,fall,0,8,0,4,1,2,29.11,0.664788,0.7575,0.19715,799,3777,4576,4576,Nublado
216,217,2011-08-05,fall,0,8,0,5,1,1,29.144153000000003,0.656567,0.630833,0.184696,1023,3843,4866,4866,Despejado
217,218,2011-08-06,fall,0,8,0,6,0,2,29.383347,0.676154,0.755,0.22825,1521,2773,4294,4294,Nublado
218,219,2011-08-07,fall,0,8,0,0,0,1,30.442500000000003,0.715292,0.752917,0.201487,1298,2487,3785,3785,Despejado
219,220,2011-08-08,fall,0,8,0,1,1,1,31.365000000000002,0.703283,0.592083,0.192175,846,3480,4326,4326,Despejado
